mmsi,months_2015
10000000,"1,2,3,4,5,6,7,8,9,10,11,12"
111666888,"1,2,3,4,5,6,7,8,9,10,11,12"
205203890,"1,2,3,4,5,6,7,8,9,10,11,12"
205224490,"1,2,3,4,5,6,7,8,9,10,11,12"
205278690,"1,2,3,4,5,6,7,8,9,10,11,12"
205432790,"1,2,3,4,5,6,7,8,9,10,11,12"
205484990,"1,2,3,4,6,7,8,9,10,11,12"
207829830,"3,5,6,7,8,9,10,11,12"
209250000,"1,2,3,4,5,6,7,8,9,10,11,12"
209272000,"1,2,3,4,5,6,7,8,9,10,11,12"
210493000,"1,2,3,4,5,6,7,8,9,10,11,12"
211123610,"4,5,6,7,8,9,10"
211191060,"1,2,3,4,5,6,7,8,9,10,11,12"
211210910,"1,2,4,5,6,8,9"
211219330,"1,2,3,4,5,6,7,8,9,10,11,12"
211223790,"1,2,3,4,5,6,7,8,9,10,11,12"
211538610,"4,5,6,7,8"
211626470,"4,5,6,7,8,9,10,11,12"
211669240,"3,4,5,6,8,9,10,11,12"
215450000,"1,2,3,4,5,6,7,8,9,10,11,12"
219017917,"1,2,3,4,5,6,7,8,9,10,11,12"
219324000,"1,2,3,4,5,6,7,8,9,10,11,12"
224196000,"7,8,9,10,12"
224330760,"5,6,10,11"
227180930,"4,5,6,7,8,9,10"
227317660,"1,2,3,4,5,6,7,8,9,10,11,12"
227789190,"1,2,3,4,5,6,7,8,9,10,11,12"
227790860,"1,2,3,4,5,6,7,8,9,10,11,12"
228317000,"1,2,3,4,5,6,8,9,10,11,12"
229037000,"1,2,3,4,5,6,7,8,9,10,11,12"
229199000,"1,2,3,4,5,6,7,8,9,10,11,12"
229368000,"4,7,8,9,10,11,12"
230125940,"1,2,3"
230654000,"4,5,6,7,8,9,10,11,12"
232003427,"2,3,4,5,6,7,8,9,10,11,12"
2323112,"8,9,10"
234180000,"1,2,3,4,5,6,7,8,9,10,11,12"
235000322,"1,2,3,4,5,6,7,8,9,10,11,12"
235004244,"1,2,3,4,5,6,7,8,9,10,11,12"
235021371,"5,6,7,8,9,10"
235052172,"1,2,3,4,5,6,7,8,9,10,11,12"
235053796,"1,2,3,4,5,6,7,8,9,10,11,12"
235062382,"1,2,3,4,5,6,7,8,9,10,11,12"
235093608,"1,2,3,4,5,6,7,8,9,10,11"
235095796,"1,2,3,4,5,6,7,8,9,10,11,12"
235101302,"1,2,3,4,5,6,7,8,9,10,11,12"
235102119,"5,6,7,8"
237005100,"4,5,6,7,8,9,10,11,12"
238603140,"3,4,5,6,7,8,9,10"
238794240,"2,3,4,5,6,7,8,10,11,12"
240971000,"1,2,3,4,5,6,7,8,9,10,11,12"
241375000,"6,7,8,9,10,11,12"
244132000,"1,2,3,4,5,6,7,8,9,10,11,12"
244155000,"1,2,3,4,5,6,7,8,9,10,11,12"
244615515,"1,2,3,5,6,7,9,10,11"
244650956,"1,2,3,4,5,6,7,8,9,11,12"
244660655,"1,2,3,4,5,6,7,8,9,10,11,12"
244690647,"1,2,3,4,5,6,7,8,9,10,11,12"
244700601,"1,2,3,4,5,6,7,8,9,10,11,12"
244700955,"1,2,3,4,5,6,8,9,11,12"
244730085,"4,5,6,7,8,9,10"
244740130,"5,7,8"
244750489,"5,6,7,8,9,10"
244770433,"1,2,3,4,5,6,7,8,9,10,11,12"
244770751,"4,5,6,7,8,9"
244780400,"1,2,3,10,11,12"
244790786,"5,6,7,8"
245078000,"1,2,3,4,5,6,7,8,9,10,11,12"
245726000,"1,2,3,4,5,6,7,8,9,10,11,12"
247051770,"1,2,3,4,5,6,7,9,10,11,12"
247056700,"1,2,3,4,5,6,7,8,9,10,11,12"
247101610,"1,2,3,4,5,6,7,8,9,10,11,12"
247140370,"1,3,4,5,6,7,8,9,11"
247223780,"5,6,7,8,10"
