mmsi,label,label_score,type,type_score
366596000,Purse seine,0.35210949182510376,54,1.0
412470513,Purse seine,0.45065319538116455,30,1.0
338060001,Purse seine,0.3130258321762085,39,0.923951048951049
412422683,Purse seine,0.2286803424358368,30,1.0
338167955,Purse seine,0.3243999481201172,37,1.0
412286255,Purse seine,0.34457558393478394,30,1.0
413812853,Purse seine,0.35823148488998413,70,0.9940546967895363
271072459,Purse seine,0.35990037098526956,30,1.0
413249760,Purse seine,0.4060879051685333,80,1.0
900006259,Purse seine,0.37203288078308105,70,1.0
808464440,Purse seine,0.4970419704914093,49,0.18661257606490872
412413294,Purse seine,0.49663734436035156,30,1.0
316020229,Purse seine,0.24400925636291504,37,1.0
413814759,Purse seine,0.46069350838661194,70,1.0
219001522,Purse seine,0.4309600591659546,30,0.999955541724092
412420113,Purse seine,0.4328339993953705,30,1.0
319089900,Purse seine,0.3467255234718323,37,0.9954239569313593
235033532,Purse seine,0.4099326729774475,36,1.0
257007500,Purse seine,0.27367326617240906,30,1.0
419020400,Purse seine,0.461769700050354,99,1.0
412449013,Purse seine,0.31459641456604004,30,1.0
563242000,Purse seine,0.4461739659309387,39,0.987736900780379
310413000,Purse seine,0.48716413974761963,36,0.9999533669091587
227588930,Purse seine,0.4655265212059021,36,1.0
412436564,Purse seine,0.41982847452163696,30,1.0
412331103,Purse seine,0.3889966309070587,30,1.0
403710210,Purse seine,0.4754752218723297,52,1.0
265581290,Purse seine,0.23985779285430908,36,1.0
273443410,Purse seine,0.3714522421360016,50,1.0
413359160,Purse seine,0.37383395433425903,33,0.9993575329264375
244153064,Purse seine,0.4108179211616516,36,1.0
413952099,Purse seine,0.3852003514766693,70,1.0
251809240,Purse seine,0.4197528660297394,30,1.0
428381000,Purse seine,0.46472299098968506,36,1.0
412464768,Purse seine,0.3614755868911743,30,1.0
413817042,Purse seine,0.44084781408309937,70,1.0
412427901,Purse seine,0.4358491897583008,30,1.0
247190200,Purse seine,0.35130009055137634,9,1.0
312763000,Purse seine,0.3648143410682678,70,1.0
367135050,Purse seine,0.23054064810276031,31,1.0
211567400,Purse seine,0.24481724202632904,30,1.0
235054856,Purse seine,0.44422298669815063,36,1.0
412332666,Purse seine,0.2796022891998291,30,1.0
211460330,Purse seine,0.3847552537918091,36,1.0
257990330,Purse seine,0.4519558548927307,36,1.0
412413207,Purse seine,0.3256048858165741,30,1.0
219001976,Purse seine,0.327068954706192,30,1.0
412413987,Purse seine,0.3752201497554779,30,1.0
219002847,Purse seine,0.2209090143442154,30,1.0
205521590,Purse seine,0.43072983622550964,53,1.0
257898500,Trawler,0.43112438917160034,30,1.0
413007018,Trawler,0.47444313764572144,30,0.9984709480122325
138005330,Trawler,0.4796679615974426,70,0.989501312335958
204243000,Trawler,0.3233182728290558,30,1.0
257888290,Trawler,0.4917095899581909,37,1.0
412402510,Trawler,0.4383789896965027,70,1.0
247081090,Trawler,0.397085040807724,30,1.0
413854214,Trawler,0.4252113997936249,70,0.7807308970099668
412349332,Trawler,0.4883575141429901,30,1.0
412854785,Trawler,0.47308826446533203,30,1.0
412436395,Trawler,0.49215149879455566,30,1.0
412417375,Trawler,0.38559481501579285,30,1.0
412443226,Trawler,0.39934372901916504,30,1.0
247082800,Trawler,0.399324506521225,52,1.0
538005340,Trawler,0.2965921461582184,99,0.644506001846722
745003500,Trawler,0.3856872320175171,90,1.0
538003761,Trawler,0.29308345913887024,52,1.0
224083650,Trawler,0.43840277194976807,30,1.0
416059670,Trawler,0.4595586061477661,30,1.0
303221000,Trawler,0.4308898150920868,30,1.0
257866500,Trawler,0.4053974747657776,30,1.0
224123490,Trawler,0.4756324589252472,30,0.9996605566870332
412331754,Trawler,0.4769628047943115,30,1.0
412460108,Trawler,0.39524003863334656,30,1.0
412462626,Trawler,0.43203678727149963,30,1.0
351239000,Trawler,0.4276159107685089,52,0.9975096219153271
413787833,Trawler,0.4593774378299713,70,1.0
419064300,Trawler,0.3944143056869507,99,1.0
238984610,Trawler,0.46182286739349365,30,1.0
412326878,Trawler,0.4724206030368805,30,1.0
900019558,Trawler,0.481618732213974,30,1.0
235097311,Trawler,0.473999559879303,51,1.0
412451035,Trawler,0.45262888073921204,30,1.0
219345000,Trawler,0.1710606813430786,52,0.9993134225883968
257151720,Trawler,0.3887062072753906,30,1.0
247030180,Trawler,0.46965640783309937,30,1.0
130700281,Trawler,0.4437226951122284,37,1.0
412125015,Trawler,0.40158382058143616,30,1.0
235114706,Trawler,0.46315139532089233,30,1.0
235004900,Trawler,0.4932307302951813,30,1.0
227308110,Trawler,0.4425208866596222,30,1.0
247149040,Trawler,0.4414755702018738,30,1.0
413781495,Trawler,0.4802235960960388,70,1.0
412284865,Trawler,0.49442043900489807,30,0.9982456140350877
413952991,Trawler,0.3397994637489319,72,0.7675401521555367
263406940,Trawler,0.4200131595134735,30,1.0
412329694,Trawler,0.4481639862060547,30,1.0
235102113,Trawler,0.4471088647842407,51,1.0
412464585,Trawler,0.4076941907405853,30,1.0
412435108,Trawler,0.35260704159736633,30,1.0
224952180,Longliner,0.48780205845832825,36,1.0
800038035,Longliner,0.4678230583667755,30,1.0
412417368,Longliner,0.3934439718723297,30,0.9944444444444445
518348000,Longliner,0.4820707142353058,36,1.0
367584690,Longliner,0.39604687690734863,72,1.0
412436315,Longliner,0.4107358157634735,30,1.0
251518240,Longliner,0.4287734627723694,30,1.0
440002645,Longliner,0.4361783266067505,30,1.0
412434232,Longliner,0.4387277662754059,30,1.0
224102280,Longliner,0.38925638794898987,30,1.0
219002047,Longliner,0.43995487689971924,30,1.0
273352280,Longliner,0.4868958592414856,30,1.0
412201192,Longliner,0.38826316595077515,30,1.0
234423000,Longliner,0.3439108729362488,30,1.0
370418000,Longliner,0.31455323100090027,94,0.9482265446224256
257575090,Longliner,0.4561731815338135,37,1.0
265631320,Longliner,0.4178379476070404,30,1.0
412321399,Longliner,0.39459726214408875,30,1.0
227058720,Longliner,0.33628585934638977,36,1.0
440117740,Longliner,0.4048973321914673,68,1.0
775911000,Longliner,0.4754638075828552,70,1.0
412353012,Longliner,0.41920265555381775,30,1.0
235032001,Longliner,0.4611653983592987,30,1.0
412301001,Longliner,0.38987821340560913,70,1.0
224173230,Longliner,0.4206995964050293,30,1.0
412428847,Longliner,0.38874608278274536,30,1.0
247149020,Longliner,0.48089829087257385,30,0.9983291562238931
412449303,Longliner,0.4511469304561615,30,1.0
257108620,Longliner,0.15885138511657715,30,1.0
367045260,Longliner,0.4092208743095398,10,1.0
222222212,Longliner,0.4011663496494293,30,1.0
251402110,Longliner,0.3897324800491333,30,1.0
440103270,Longliner,0.4220517575740814,30,1.0
412001238,Longliner,0.453748881816864,30,1.0
244250329,Longliner,0.4019065499305725,36,1.0
265658020,Longliner,0.49066171050071716,36,1.0
247142090,Longliner,0.48808830976486206,30,1.0
211484000,Longliner,0.45275360345840454,30,1.0
244615605,Longliner,0.42679235339164734,36,1.0
224018520,Longliner,0.42203155159950256,30,1.0
367681050,Longliner,0.49245867133140564,36,1.0
227808000,Longliner,0.4726581275463104,30,1.0
251792540,Longliner,0.31861525774002075,30,1.0
200005911,Longliner,0.38028135895729065,30,1.0
228008900,Longliner,0.2498040497303009,30,1.0
235076295,Longliner,0.3377011716365814,30,1.0
