mmsi,months_2015
209128000,"1,2,3,4,5,6,7,8,9,10,11,12"
211154980,"1,4,5,6,7,8,9"
211465950,"1,2,3,4,5,6,10"
212121212,"9,10,11"
219133000,"2,3,4,5,6,7"
224006770,"2,6,7,8,9,12"
224012730,"7,8,9,11"
224084620,"1,2,3,5,6,7,8,9,10,11,12"
224226870,"4,5,6,7,8"
224503230,"1,2,3,4,5,6,7,8,11,12"
224724000,"1,2,3,4,5,6,7,8,9,10,11,12"
224770000,"1,2,3,4,5,6,7,8,9,10,11,12"
224935540,"4,5,6,7,8,9,10"
227015120,"4,5,6,8,9"
227258290,"5,6,7,8,9,10"
231006000,"4,5,7,10,11"
235000632,"6,7,8,11"
235002453,"1,2,3,4,6,7,8,9,10,11,12"
235090871,"2,3,4,5,6,7,8,9,11,12"
235091473,"1,3,4,5,6,7,8,9,10,11,12"
235095543,"3,5,10,11,12"
235096548,"4,5,6,7,8"
235106574,"2,3,4,5,6,7,8,9,10,11"
238198000,"1,2,3,4"
244650004,"5,6,7,8,9,10"
244780598,"2,3,4,7,8,9"
244790381,"5,6,7,8"
245999000,"1,2,3,4,5,6,7,8,9,10,11,12"
247119520,"3,4,5,7,8,10,12"
247191500,"1,2,3,4,5,6,7,8,9,10,11,12"
249000066,"4,6,7,8,9,10,11,12"
250000111,"7,8,9,10"
250414000,"1,2,3,4,5,6,7,8,10,11,12"
251199000,"2,3,5,6,7,8,12"
257779360,"5,6,7,8,9,10"
263906380,"4,5,6,7,8,9,10"
264160092,"1,2,3"
265638130,"7,8,9,10"
265722600,"3,4,5,6,7,8,9"
273315640,"1,2,3,4,5,6,7,8,9,10,11,12"
273847710,"1,2,3,4,5,6,7,8,9,10"
311227000,"1,2,3,4,5,6,7,8,9,10,11,12"
316017683,"5,6,7,9,10,11,12"
333300758,"4,5,6,7,9,10,11,12"
333888999,"1,3,4,8,9,10,11,12"
338139723,"1,4,7,8,9,10,11"
338145727,"5,6,7,8,9,10,11,12"
338173208,"1,2,3,4,5,6,7,8,9,10,11,12"
338175418,"4,5,6,7,8,9"
352432000,"1,2,3,4,5,6,7,8,9,10,11,12"
352689000,"6,7,8,9,10,11,12"
354055000,"1,2,3,4,5,6,7,8,9,10,11,12"
366920680,"4,5,6,8,10,11"
367571490,"4,5,6,7,8,9,10,11,12"
367588860,"2,3,4,5,6,7,9,12"
367599150,"3,4,5,6,9,10,11"
367666000,"3,4,5,6,7,8,9,10,11,12"
376761000,"5,6,7"
400121500,"5,7,8"
412421520,"1,2,4,5,6,7,8,9,11,12"
412426090,"1,3,4,5,6,7,8,9,11,12"
412428493,"1,2,3,4,5,8,9,10,11"
412429460,"1,2,3,4,5,6,7,8,9,11,12"
412434226,"1,2,3,4,5,6,7,8,9,10,11"
412570440,"1,2,3,4,5,6,7,8,9,10,11,12"
412702190,"1,4,5,6,7,8,11,12"
412798016,"1,3,4,5,6,7,9,10,12"
412888880,"1,2,3,4"
413002549,"8,9,10,11,12"
413553190,"1,3,4,5,6,7,8,9,10,11"
413553230,"1,3,4,5,6,7,8,9,10,11"
413762607,"1,2,3,4,7,8,9"
413766622,"2,3,4,5,6,7,8,9,10,11"
413767005,"1,2,3,4,6,7,8,9,10,11"
413779571,"1,2,3,4,5,6,8"
413782871,"1,2,3,6,7,8,9"
413787715,"5,6,7,8,9,10,11,12"
413792516,"1,2,3,4,5,6,7,8,9,10,11,12"
413802042,"1,7,10,11"
413807411,"3,6,7,8,9,11,12"
413808319,"1,2,3,4,5,6,7,8,9,10,12"
413809107,"1,3,4,7,8"
413811523,"4,5,6,7,8,9,10,11,12"
413814162,"3,4,5,7,8,9"
413814949,"1,2,3,4,5,6,9,10,11,12"
413830574,"9,10,11,12"
413900088,"1,2,3,4,5,6,7,8,9,10,11,12"
413950083,"1,6,9,10,11,12"
413962155,"1,3,4,5,6,7,8,9,10,11,12"
413963176,"1,3,4,5,6,7,8,9"
413964488,"4,5,6,7,8,9"
413976502,"1,2,3,4,5,6,7,8"
413977702,"1,2,3,4,5,6,7,8,9"
413982134,"4,5,6,7,8,9,10,11,12"
413984759,"1,6,7,8"
413987973,"1,3,4,5,6,7,8,9"
413996094,"1,2,4,5,6,7,8"
413999862,"1,2,3,4,9,10,11"
416004242,"1,2,3,4,5,6,7,8,9,10,12"
416028700,"4,5,6,7,8,9,10,11,12"
416046700,"4,5,6,7,8,9,10,11"
416731000,"1,2,5,6,11,12"
419000244,"2,3,4,5,6,7,8,9,10,11,12"
419072800,"1,2,3,4,12"
431004641,"1,2,3,4,6,7,8,9,10"
431501545,"8,9,10,11,12"
431601350,"7,9,10,11,12"
431900227,"1,5,6,9"
432568000,"3,4,5,6,7,8,9,10,11,12"
440103090,"3,5,6,8,9"
440105520,"2,4,5,6,7,8,10"
440127950,"4,5,6"
441735000,"1,2,3,4,6,7,8,9,10,11"
457239000,"8,9,10,11,12"
503008850,"4,5,6,7,8,9,11,12"
503553100,"1,4,5,7,8,9,11"
503571400,"2,3,4,5,6,7,8,10,11,12"
503586100,"4,5,6,7,8,9,10"
503652100,"1,2,3,6,12"
524801490,"1,3,4,5,6,7,8,9"
525005013,"4,5,6,7,8,9,11,12"
525015561,"1,2,3,4,5,6,7,8,9,10"
525022136,"1,6,7,8,11"
525022145,"5,6,9,10,12"
525023216,"2,3,4,5,6,10"
533065200,"2,3,4,5"
533130177,"2,3,4,5,6,7"
538002948,"1,2,3,4,5,11,12"
566174000,"1,2,3,4"
572718210,"8,9,10,11,12"
574013003,"2,3,4,5,6,7,8,9,10,11"
576190000,"1,7,8,9,10,11,12"
576690000,"4,5,6,7,8,9,10,11,12"
601032600,"6,7,8,9,10,11,12"
657429000,"1,2,3,4,5,7,8"
659422000,"10,11,12"
667001230,"1,2,3,4,5,6,7,8,9,10,11,12"
701319841,"4,5,6"
710012560,"1,2,3,4,5,6,7,8,9,10,11,12"
710472000,"1,3,4,5,9,12"
725003280,"1,2,3,4,5,8,9,10,11,12"
900008509,"1,2,3,4,5,7,8,9"
900116912,"1,3,4,5,6,7,8,9,10,11"
900899965,"2,3,4,5,8"
982358863,"1,2,3,4,5,6,7,8,9,10,12"
