mmsi,months_2014,months_2015
224020170,"1,5,6,7,8,9,11,12","1,2,5,6,7"
224072890,"1,2,3,4,5,6,7,8,9,10,11,12","1,3,4,5,6,7"
224082260,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,6,7"
224100530,"5,6,7,8,9,10,11","1,2,3,5,6,7"
224276000,"5,8,9,10,11","1,3,5"
224303000,"5,6,7,8,9,11,12","1,3,4,5,6,7"
224307000,"7,12","2,3,6,7"
227146300,"1,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
227370000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
227503000,"1,2,3,4,5,6,7,11,12","1,2,3,4,5,6,7"
247110080,"5,6,7,8,9,10","2,3,4,5,6,7"
247110180,"5,6","4,5,6"
256000325,"2,3,4,5,6,7,8,9,10,11,12","1,4,5,6,7"
263575000,"1,2,5,8,9,10,12","2,3"
271072208,"1,2,3,6,8,9,10,11,12","1,5,6,7"
271072475,"2,3,9,10,11",
271072850,"1,2,3,9,10,11,12","1,2"
356567000,"1,2,3,4,5,6,9,10,11,12","1,2,3,4,5,6,7"
357788000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
370599000,"1,2,3,4,6,7,8,9,12","1,2,3,4,5,6,7"
416001900,"1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7"
416308000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
416602000,"1,2,8,9,10,11,12","1,2,5,6,7"
416702000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
416730000,"2,4,6,8,9,10,11,12","3,4,6,7"
416833000,"7,9,10,11","1,4,6,7"
431028000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
431225000,"2,3,4,5,6,7,9,10,11,12","2,3,4,5,6,7"
431254000,"1,2,4,5,6,7,9,10,11,12","1,2,4,5,6,7"
431272000,"1,2,3,4,5,6,7,9,10,11,12","1,2,3,4,5,6,7"
431465000,"1,2,3,4,5,6,7,8,9,12","1,2,3,4,5,6,7"
431469000,"1,2,3,5,6,7,8,9,10,11","1,2,3,5,6,7"
431619000,"4,5,7,8,9,10","1,2,7"
431710000,"5,6,7,8,9,10,11,12","2,3,4,5,6,7"
431717000,"3,4,5,6,7,8,9,10,11,12",
431731000,"1,2,3,8",
431796000,"3,4,5,6,7,8,9,10,11,12","1,3,4,5,6,7"
431919000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
432106000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
432288000,"1,2,3,4,5,6,7,8,9,10,11","1,2,3,4"
432321000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,5,6,7"
432322000,"1,2,3,4,5,6,7,9,10,11","1,2,3,4,5,6,7"
432370000,"4,5,6,7,8,9,10,12","1,2,3,4,5,6,7"
432395000,"1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7"
432399000,"1,2,3,4,5,6,7,8,9,10,11","1,2,3,5,6,7"
432558000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
432564000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3"
432760000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
432861000,"3,4,5,7,8,9,10,11",
432954000,"1,2,3,4","1,2"
441032000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
576276000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
576277000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
576507000,"1,2,3,4",
577077000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
577105000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
577132000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7"
577169000,"1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5"
