mmsi,months_2015
147258369,"1,2,3,4,5,7,8,9,10,11"
203999327,"1,2,3,4,5,6,7,8,9,10,11,12"
203999358,"1,2,3,4,5,6,7,8,9,10,11,12"
211196560,"1,2,3,4,5,6,7,8,9,10,11,12"
211269090,"1,2,3,4,5,6,7,8,9,10,11,12"
211512760,"1,2,3,4,5,6,7,8,9,10,11,12"
211514140,"1,2,3,4,5,6,7,8,9,10,11,12"
211553330,"2,4,8,9,10"
211644170,"1,2,3,4,5,6,7,8,9,10,11,12"
211660140,"1,2,3,4,5,6,7,8,9,10,11,12"
227734020,"4,5,6,7,8,9,10,12"
229623000,"1,2,3,4,5,6,7,8,9,10,11,12"
244650869,"1,2,3,4,5,6,7,8,9,10,11,12"
244650959,"1,2,3,4,5,6,7,8,9,10,11,12"
244660065,"1,2,3,4,5,6,7,8,9,10,11,12"
244660073,"1,2,3,4,5,6,7,8,9,10,11,12"
244660360,"1,2,3,4,5,6,7,8,9,10,11,12"
244660717,"1,2,3,4,5,6,7,8,9,10,11,12"
244670275,"1,2,3,4,5,6,7,8,9,10,11,12"
244700114,"1,2,3,4,5,6,7,8,9,10,11,12"
249058000,"1,2,3,4,5,6,7,8,9,10,11,12"
249300300,"1,2,3,4,5,6,7,8,9,10,11,12"
261186310,"1,2,3,4,5,6,7,8,9,10,11,12"
267010021,"1,2,3,4,5,6,7,8,9,10,11,12"
267168000,"1,2,3,4,5,6,7,8,9,10,11,12"
269057408,"1,2,3,4,5,6,7,8,9,10,11,12"
270256000,"1,2,3,4,5,6,7,8,9,10,11,12"
312762000,"1,2,3,4,5,6,7,8,9,10,11,12"
345010030,"1,2,3,4,5,6,7,8,9,10,11,12"
356503000,"1,2,3,4,5,6,7,8,9,10,11,12"
356779000,"1,2,4,5,8,11,12"
366851250,"1,2,3,4,5,6,7,8,9,10,11,12"
366916920,"1,2,3,4,5,6,7,8,9,10,11,12"
366937040,"1,2,3,4,6,8,9,10,11,12"
366967640,"1,2,3,4,5,6,7,8,9,10,11,12"
366984180,"1,2,3,4,5,6,7,8,9,10,11,12"
366985050,"1,2,3,4,5,6,7,8,9,10,11,12"
366985540,"1,2,3,4,5,6,7,8,9,10,11,12"
366991790,"1,2,3,4,5,6,7,8,9,10,11,12"
366996080,"1,2,3,4,5,6,7,8,9,10,11,12"
367057370,"1,2,3,4,5,6,7,8,9,10,11,12"
367505770,"1,2,3,4,5,6,7,8,9,10,11,12"
367513420,"1,2,3,4,5,6,7,8,9,10,11,12"
367638240,"1,2,3,4,5,6,7,8,9,10,11,12"
367682130,"7,8,9,10,11,12"
370170000,"1,2,3,4,5,6,7,8,9,10,11,12"
370963000,"1,2,3,4,5,6,7,8,9,10,11,12"
371558000,"1,2,3,4,5,6,7,8,9,10,11,12"
371592000,"1,2,3,4,5,6,7,8,9,10,11,12"
371758000,"1,2,3,4,5,6,7,8"
372879000,"4,5,6,7,8,9,10,11,12"
373674000,"1,2,3,4,5,6,7,8,9,10,11,12"
405000135,"1,2,3,4,5,6,8,9,11,12"
412112015,"1,3,7"
412357040,"1,2,3,4,5,6,7,8,9,10,11,12"
412375550,"1,2,3,4,5,6,7,8,9,10,11,12"
412418190,"1,2,3,5,6,7,8,9,10,11,12"
412425010,"1,3,4,5,6,7,8,9,10,11,12"
412439570,"1,2,3,4,5,6,7,8,9,10,11,12"
412455390,"1,2,3,4,5,6,7,8,9,10,11,12"
412501180,"1,2,3,4,5,6,7,8,9,10,11,12"
412502540,"1,2,3,4,5,6,7,8,9,10,11,12"
412502550,"1,2,3,4,5,6,7,8,9,10,11,12"
412553970,"1,2,3,4,5,6,7,8,9,10,11,12"
412733000,"1,2,3,4,5,6,7,8,9,10,11,12"
412760780,"1,2,3,4,5,6,7,8,9,10,11,12"
413077030,"1,2,3,4,5,6,7,8,9,10,11,12"
413353890,"1,3,4,5,6,7,8,9,10,11,12"
413353940,"1,2,3,4,5,6,7,8,9,10,11,12"
413355150,"1,2,3,4,5,6,7,8,9,10,11,12"
413416390,"1,2,3,4,5,6,7"
413442070,"1,2,3,4,5,6,7,8,9,10,11,12"
413453680,"1,2,3,4,5,6,7,8,9,10,11,12"
413454260,"1,2,3,4,5,6,7,8,9,10,11,12"
413470530,"1,2,3,4,5,6,7,8,9,10,11,12"
413507110,"1,2,3,4,5,6,7,8"
413508160,"3,4,5,6,7,8,9,12"
413521140,"1,2,3,4,5,6,7,8,9,10,11,12"
413552560,"1,2,3,4,5,6,7,8,9,10,11,12"
413615000,"3,4,5,6,7,8,9,10,11,12"
413760448,"1,3,4,7,8,9"
413760471,"2,6,7"
413760814,"2,3,4,5,6,7,8,9"
413760869,"1,3,4,6,7,9"
413762495,"1,2,3,4,5,6,7,8,9,10"
413766754,"1,5,6"
413768848,"1,2,3,5,6,7,8,9,11,12"
413770331,"1,2,4,5,6,7,8,9,10,11,12"
413771406,"1,2,3,4,5,6,7,8,9,11,12"
413772055,"3,6,7"
413772083,"1,2,4,5,6,8,9,10,12"
413773159,"1,4,5"
413773228,"5,6,8,9"
413773674,"1,2,3,4,5,6,7,8,9,10,11,12"
413773731,"2,3,4,5,6,7,8,9,10,12"
413774853,"1,2,3,4,5,6,7,8,9,10,11"
413775835,"5,7,8,9,10,11,12"
413777098,"1,2,3,4,5,6,7,8,9,10,11"
413777355,"2,3,4,6,7,8,9,10,11"
413777417,"1,4,5,6,7,8,9"
413778785,"1,2,3,4,5,6,7,8,9,10,11,12"
413778851,"1,3,5,11"
413779089,"1,4,5,6,7,9,11"
413779598,"1,2,6,7"
413779775,"1,2,3,4,7,9,12"
413780051,"1,3,4,5,6,7,9,10,11,12"
413780352,"8,9,11"
413780786,"2,5,6,7,8,9,10,11"
413783337,"1,5,6,7,9,12"
413783723,"1,2,4,8"
413783957,"3,4,6"
413784139,"1,2,3,4,6,7,8"
413784964,"5,6,7,8"
413785293,"1,4,8"
413785998,"2,3,4,5,7,8"
413787071,"4,6,8"
413787406,"1,2,3,4,5,6,7,8,9"
413787875,"1,3,4"
413790301,"1,2,3,4,5,6,7,8,9,11,12"
413790909,"1,3,4,5,6,7,8,9,10,11,12"
413790959,"1,4,5,6,7,8,9,10,11,12"
413791278,"1,2,3,4,5,6,7,8,9,10,11"
413792522,"5,8,9,12"
413792801,"1,4,5,7,8,11"
413793224,"1,2,3,4,5,7,8,9,10,12"
413794405,"1,3,4,5,6,7,8,9,10,11,12"
413794467,"1,3,4,5,9"
413794658,"7,8,11,12"
413794812,"6,7,8,9,10,11"
413794909,"5,7,8"
413795331,"8,10,11,12"
413801402,"1,4,5,6,7,8,9,10"
413801647,"1,2,3,5,6,7,8,9,10,11"
413801945,"1,2,3,4,5,6,7,8,9,10,11,12"
413802174,"2,4,7,8"
413804286,"1,2,3,4,5,6,7,8,9,10,11,12"
413805206,"2,3,4,7,9"
413806165,"1,2,3,4,5,7,8,9,10,11,12"
413806175,"1,2,3,4,5,6,7,8"
413806304,"1,3,5,6,7,8"
413806878,"6,9,11,12"
413808025,"4,5,6,7,8,9"
413808125,"1,2,3,4,6,7,8,9"
413810013,"3,4,7,8,9,12"
413810047,"1,2,3,4,7"
413810716,"1,5,6"
413811037,"1,2,9,10"
413811461,"1,6,7,8"
413812138,"3,7,8,12"
413812652,"2,4,8,9,10,11"
413812753,"1,2,3,4,5,6,7,8,9"
413812908,"1,3,5,6,7,8,9,12"
413812924,"1,5,7,8,9,10,11"
413813082,"5,6,8"
413813096,"1,4,5,6,8,9"
413815205,"4,5,8"
