task_url,task_number,mmsi,label,label_score,type,type_score,label_check,checked_type,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4250,4250,205687000,Trawler,0.851217389,99,0.9986307,0,other,,1 = label correct
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4251,4251,209128000,Trawler,0.867338359,38,1,0,research,,0 = label incorrect
,,211154980,Longliner,0.983069897,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4252,4252,211465950,Longliner,0.972391307,99,1,0,pilot,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4253,4253,212121212,Longliner,0.840588585,15,0.952008929,0,fake,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4254,4254,219133000,Trawler,0.851812541,31,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4255,4255,224006770,Longliner,0.943927884,99,0.99474606,0,auxiliary,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4256,4256,224012730,Purse seine,0.809193671,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4257,4257,224084620,Purse seine,0.840577483,2,1,1,purse seine,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4258,4258,224226870,Purse seine,0.903229833,60,1,0,passenger,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4259,4259,224503230,Purse seine,0.884438455,56,1,0,other,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4260,4260,224724000,Longliner,0.984134495,36,0.80009995,0,trawl,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4261,4261,224770000,Trawler,0.866942525,90,1,1,trawl,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4262,4262,224935540,Purse seine,0.839048386,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4263,4263,227015120,Trawler,0.95690161,36,1,0,sail,,
,,227241250,Trawler,0.851336539,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4264,4264,227258290,Purse seine,0.938463271,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4265,4265,231006000,Longliner,0.80548948,51,1,0,tug,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4266,4266,235000632,Longliner,0.887444735,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4267,4267,235002453,Purse seine,0.914948463,50,1,0,pilot,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4268,4268,235090871,Longliner,0.822823644,37,1,0,pleasure craft,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4269,4269,235091473,Purse seine,0.933117628,51,1,0,SAR,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4270,4270,235095543,Longliner,0.827885687,36,1,0,sail,,
http://crowd.globalfishingwatch.org/project/id_fishing_vessels_hclc/task/4271,4271,235096548,Longliner,0.887535572,36,1,0,sail,,
