mmsi,count
267210040,24586
477013700,601
367011830,33187
367143690,8792
366995920,7245
367522240,39214
269057395,15515
203999383,15110
243070609,12883
566179000,416
710001338,710
367113150,8091
261186338,923
211464610,836
270338000,614
244870455,242
477944000,1704
211475510,415
244710458,719
211002011,494
367573410,4647
205512890,604
367054240,2994
538002999,436
367653470,628
477325700,220
229346000,6316
211171180,12179
211483540,28057
367005180,22328
207261313,15052
366988760,9631
211169330,7332
366963390,15421
367522220,28349
366984350,18708
367327970,12534
367583740,11005
367475560,4456
203999308,4264
366999523,3496
367057590,14441
211624810,8658
244660100,1172
367486280,13122
367399880,13849
367192650,1585
367694640,1991
264163192,19923
205523690,3264
205461590,748
211661030,3452
244690637,305
710000748,360
211482070,440
369494740,227
211540890,484
351674000,534
269057512,5381
244670089,319
211629910,17314
244650903,250
366995310,2204
366995620,437
304812000,519
538004181,1103
367168830,15695
269057390,31270
211554300,49595
366996060,7993
211169810,9154
207072342,9966
211190940,6168
269057465,11854
366999521,695
244790570,2104
211481250,15755
367003540,241
367143710,9898
211668930,6643
564700000,6393
311050600,264
261182694,2468
211549520,1402
367343440,2511
211510640,987
366993020,4077
203999321,245
211512600,7652
367054810,1044
244670799,513
267010047,1013
366996710,712
269064000,1094
243000046,1347
244250702,224
244670506,218
367014430,2394
244750134,1660
211515160,275
477962300,461
477617300,352
477963100,1257
211511370,506
367481570,37401
367533710,38207
267010025,24656
264162519,3974
367600960,16250
367622970,19559
211169540,10765
269057499,12979
211507020,8602
211535890,1022
367575130,12664
366919230,11093
477048000,249
367641620,12964
211509040,2252
270252000,860
710000795,208
261182658,2229
367433690,393
367396730,1568
244670138,387
244710505,396
244670582,346
211555070,870
211437690,223
205408090,224
215892000,803
244660546,426
357262000,857
538005470,265
367595840,2660
351696000,947
205376890,702
373756000,1292
373886000,486
367373640,13363
270311000,1372
366967670,16776
367456850,19653
369970732,39459
203999424,4668
212049000,860
366967080,22821
367451270,22931
355960000,16649
244790016,9134
366963070,10364
211660150,28076
367638080,13596
211623160,23129
249562000,203
367567350,5560
366799770,7622
367611970,1181
367430210,1051
244750523,229
211511890,615
211470290,2121
205347990,393
636015464,611
211478990,14358
367324460,208
244030401,549
244660885,1000
269057515,10097
366961480,19414
367398930,7213
367402570,19858
211431140,17485
244670841,7806
367092190,18151
279202463,1646
367380840,14476
367561430,12229
227720520,5568
243071717,24126
256897000,1935
636017284,478
366821510,9902
367532810,15109
211509160,4263
211169870,7856
367004240,319
311553000,961
372268000,1831
211309260,3641
576646000,231
431127000,326
338188861,3601
710000971,664
211509240,506
710001243,534
211589480,1021
244750808,4317
244630764,214
295530990,777
244670374,4138
356927000,2032
367554940,7994
211209890,15207
367374930,14029
269057416,22441
367421590,18378
211633700,42840
211563260,1421
211182740,8035
367456880,18528
367541280,40384
244660746,11843
367622980,5772
636015681,6467
367468610,2938
366963040,15368
205308190,969
261183490,1530
367687950,8792
211661060,18212
366990030,3727
270461000,439
203999353,4987
568859,5594
710014660,805
710001313,749
367505040,1083
211593640,495
211512080,240
369494743,233
261182698,600
211492880,216
367009590,3270
538005483,566
338168433,559
538003102,957
367362240,4353
338099677,201
244630147,1104
244660036,1289
244730899,430
367526570,1186
366993510,412
367456350,13362
367678150,15381
367057840,19691
366967510,17098
367452870,12959
3660684,21032
211483650,24019
211183340,36625
203999352,25427
244660366,8480
243070814,4595
366862710,8516
367402450,5083
367522430,11740
366967460,3553
264162120,3686
3660863,16094
367503760,1180
211183290,20276
238812840,5622
366989950,13734
211449050,14055
367641580,23572
3660554,3837
264163228,7019
253242366,1147
367419040,621
269057521,6604
203999315,632
244690277,776
710001349,781
211476540,1360
244620284,1156
244650891,537
279202540,4162
215441000,20110
356345000,507
642122014,595
367505110,3160
244670532,1359
210219000,468
244650899,261
279202242,336
267173000,19159
366963490,56769
211430730,10610
264162038,4928
367429570,30862
367471910,21849
367057860,13078
367638250,11689
211660310,31032
272041600,1243
229065000,14554
366984840,15231
256306000,11865
