mmsi,year,month,vesselType
36764000,2015,1,purse_seine
36764000,2015,2,purse_seine
36764000,2015,3,purse_seine
36764000,2015,4,purse_seine
36764000,2015,5,purse_seine
36764000,2015,6,purse_seine
36764000,2015,7,purse_seine
36764000,2015,8,purse_seine
36764000,2015,9,purse_seine
36764000,2015,10,purse_seine
36764000,2015,11,purse_seine
224016930,2015,12,longliner
224016930,2015,1,longliner
224016930,2015,2,longliner
224016930,2015,3,longliner
224016930,2015,4,longliner
224016930,2015,5,longliner
224016930,2015,6,longliner
224016930,2015,7,longliner
224016930,2015,8,longliner
224016930,2015,9,longliner
224016930,2015,10,longliner
224016930,2015,11,longliner
224049140,2015,12,trawler
224049140,2015,1,trawler
224049140,2015,2,trawler
224049140,2015,3,trawler
224049140,2015,4,trawler
224049140,2015,5,trawler
224049140,2015,6,trawler
224049140,2015,7,trawler
224049140,2015,8,trawler
224049140,2015,9,trawler
224049140,2015,11,trawler
224055240,2015,1,longliner
224055240,2015,2,longliner
224055240,2015,3,longliner
224055240,2015,4,longliner
224055240,2015,5,longliner
224055240,2015,6,longliner
224055240,2015,7,longliner
224055240,2015,8,longliner
224055240,2015,9,longliner
224067670,2015,1,trawler
224067670,2015,2,trawler
224067670,2015,3,trawler
224067670,2015,4,trawler
224067670,2015,5,trawler
224067670,2015,6,trawler
224067670,2015,7,trawler
224067670,2015,8,trawler
224067670,2015,9,trawler
224067670,2015,10,trawler
224067670,2015,11,trawler
224068650,2015,12,trawler
224068650,2015,1,trawler
224068650,2015,2,trawler
224068650,2015,3,trawler
224068650,2015,4,trawler
224068650,2015,5,trawler
224068650,2015,6,trawler
224094520,2015,7,longliner
224094520,2015,1,longliner
224094520,2015,2,longliner
224094520,2015,3,longliner
224094520,2015,4,longliner
224094520,2015,5,longliner
224094520,2015,6,longliner
224094520,2015,7,longliner
224094520,2015,8,longliner
224094520,2015,9,longliner
224094520,2015,10,longliner
224094520,2015,11,longliner
224097970,2015,12,trawler
224097970,2015,1,trawler
224097970,2015,2,trawler
224097970,2015,3,trawler
224097970,2015,4,trawler
224097970,2015,5,trawler
224097970,2015,6,trawler
224097970,2015,7,trawler
224097970,2015,8,trawler
224097970,2015,9,trawler
224097970,2015,10,trawler
224097970,2015,11,trawler
224125140,2015,12,trawler
224125140,2015,1,trawler
224125140,2015,2,trawler
224125140,2015,3,trawler
224125140,2015,4,trawler
224125140,2015,5,trawler
224125140,2015,6,trawler
224125140,2015,7,trawler
224125140,2015,8,trawler
224125140,2015,9,trawler
224125140,2015,10,trawler
224125140,2015,11,trawler
224181290,2015,12,trawler
224181290,2015,1,trawler
224181290,2015,2,trawler
224181290,2015,3,trawler
224181290,2015,4,trawler
224181290,2015,5,trawler
224181290,2015,6,trawler
224181290,2015,7,trawler
224181290,2015,8,trawler
224181290,2015,9,trawler
224181290,2015,10,trawler
224181290,2015,11,trawler
224205420,2015,12,trawler
224205420,2015,1,trawler
224205420,2015,2,trawler
224205420,2015,3,trawler
224205420,2015,4,trawler
224205420,2015,5,trawler
224205420,2015,6,trawler
224205420,2015,7,trawler
224205420,2015,8,trawler
224205420,2015,9,trawler
224205420,2015,10,trawler
224205420,2015,11,trawler
224431000,2015,12,purse_seine
224431000,2015,1,purse_seine
224431000,2015,2,purse_seine
224431000,2015,3,purse_seine
224431000,2015,4,purse_seine
224431000,2015,6,purse_seine
224431000,2015,7,purse_seine
224431000,2015,8,purse_seine
224431000,2015,9,purse_seine
224431000,2015,10,purse_seine
224531000,2015,11,purse_seine
224531000,2015,1,purse_seine
224531000,2015,2,purse_seine
224531000,2015,3,purse_seine
224531000,2015,4,purse_seine
224531000,2015,5,purse_seine
224531000,2015,6,purse_seine
224531000,2015,7,purse_seine
224531000,2015,8,purse_seine
224531000,2015,9,purse_seine
