mmsi,count
267010021,30260
366967640,55670
269057408,7537
367505770,24801
477581600,226
203999327,53186
413961936,126
412455390,3623
267168000,35209
366996080,6427
366851250,4848
244660073,9666
345010030,2436
211087743,357
413779267,101
367682130,391
366937040,4565
413766165,278
244660360,2684
413790909,2065
413979753,2541
413829474,974
413777098,1426
413521140,8141
413784139,1715
211514140,2932
413893000,2156
413801945,4217
413824096,926
413823514,2240
808664168,17749
514814000,341
370170000,337
366984180,19499
367057370,4512
413831093,111
413996682,843
413823601,799
413790301,6856
413813096,1320
413961301,2415
211512760,1039
413453680,681
413952938,1397
413806175,4961
413951241,1736
413823918,3353
413819373,4154
413978287,1739
270256000,1333
413778785,2548
413771406,4938
413779089,3024
413794658,201
413805206,566
413826012,4008
412553970,2234
413552560,4529
413811461,819
413953900,534
413793224,905
413827421,148
413803337,240
413974073,3268
412418190,1728
261186310,467
413804286,1399
413780051,1361
413827566,859
412733000,4310
412425010,2793
413792801,1975
312762000,164
413802174,1991
413826623,746
413795331,343
413981938,1659
413973986,221
413794382,321
413973417,5037
413770331,887
372879000,386
413785998,3223
244660717,103
413787875,761
413772055,491
413812908,838
413961902,1563
413794909,247
413818027,1121
413811254,136
413778851,421
413760448,190
413775835,675
413801647,3446
413953113,625
244650869,617
413780352,175
413077030,3337
413808025,233
413792522,220
413777355,2231
413819438,685
413777417,1589
413812652,278
441906000,153
413784964,676
413760814,2242
413972528,1215
413782376,143
412357040,461
413819608,2296
413976243,197
412502540,175
413787476,216
413963568,417
413783618,112
413794405,1602
413809739,347
413808953,215
413791278,655
413819096,259
413855917,272
413813082,148
413940365,779
413615000,687
211553330,150
413963997,591
413791479,146
413957835,173
413773228,1842
413964973,794
413971066,418
413774853,1164
413964127,414
413780618,148
413952638,276
413815205,1695
413827288,153
413783337,2844
413794467,401
413964392,331
413827735,651
413973889,134
413822424,1196
413823538,516
413768848,234
413355150,582
413978527,1099
413821431,606
413972173,229
413987031,258
413850163,104
413803586,162
413954433,139
413819656,456
413855827,168
413989907,331
413965748,213
413773731,1235
413762495,3274
413812753,27353
413760869,550
413817683,2545
413980123,154
412375550,1039
413806165,3223
413772083,1701
413825000,2729
413416390,1089
413829726,287
413794812,509
413827195,179
413973583,201
412439570,824
413964028,138
367611460,175
413508160,1746
413828525,779
413353940,1987
413858942,155
413810047,2736
413821235,143
413808125,827
413807196,479
413801402,1097
413827446,220
514210000,167
413816815,860
413828665,378
413812924,1643
514438000,247
413782444,121
413771745,239
413829708,544
371592000,304
413994615,285
413817042,509
413965376,143
413956467,509
413787406,893
413964816,3557
413789105,451
413787071,273
413812741,204
413974748,1706
413821081,193
413353890,1474
413806878,256
412502550,748
413811037,130
413812138,212
413986394,338
413806304,3612
413975862,382
413783723,291
413996359,140
413800616,149
147258369,141
227734020,1086
413810013,417
413811435,237
413979316,270
413789725,108
413784282,443
566507000,661
413810716,596
413780786,345
413963998,203
413964935,115
229623000,1319
244660065,2599
413779775,1859
412112015,638
371758000,412
413790959,294
413507110,3935
413779598,184
413994693,201
413794528,150
538005160,794
370963000,886
477434100,147
413996245,286
413760471,270
413807561,550
413978119,426
413778444,112
244670275,240
413785293,256
413783957,3397
413700074,206
413982097,230
413766754,396
249058000,366
413773159,364
477685900,1678
414093000,588
413454260,248
373674000,105
413956891,280
413988537,614
413769838,141
413980855,126
900004474,106
533930000,399
405000135,374
412501180,119
413800049,208
600008305,133
413442070,593
244650959,1272
413764977,113
413470530,593
356503000,463
235654664,137
412552940,295
477685200,491
211514790,127
538005085,132
244700114,155
356779000,189
412429060,281
477924000,167
371558000,330
366985540,27370
367513420,1861
249300300,10539
203999358,31720
211660140,31330
412760780,5565
366916920,12438
413773674,2646
413984799,1789
367638240,21453
211196560,25289
366985050,24590
211269090,1669
211644170,6940
366991790,5317
