mmsi,months_2015
130700281,"1,2,3,4,6"
138005330,"10,11,12"
200005911,"1,3,4,8,11"
204243000,"1,2,3,4,5,6,8,9,10,11,12"
205521590,"4,5,6,7,8"
211460330,"5,6,7,8"
211484000,"3,4,5,7,8,10,11,12"
211567400,"7,8,9,10,11,12"
219001522,"1,2,3,4,5,6,7,8,9,10,11,12"
219001976,"1,2,3,4,5,6,7,8,9,10,11,12"
219002047,"1,2,3,4,5,6"
219002847,"1,2,3,4,5,6,7,8,9,10,11,12"
219345000,"1,2,3,4,5,6,7,8,9,10,11,12"
222222212,"1,8,10,11,12"
224018520,"1,2,3,4,5,6,7,8,9,10,11"
224083650,"1,2,3,4,5,6,9"
224102280,"5,6,7,8"
224123490,"1,2,3,4,6,7,8,9,10,11,12"
224173230,"1,2,3,4,5,6,7,8,9,10,11,12"
224952180,"10,11,12"
227058720,"2,3,5,6,7,8,9,10,11"
227308110,"1,2,3,4"
227588930,"3,4,5,6,7,8,9"
227808000,"1,2,3,4,6,7,8,9,10,11,12"
228008900,"1,3,4,5,6,7,8,9,10,11,12"
234423000,"1,2,3,5,6,7,8,10,11,12"
235004900,"1,2,3,4,5,6,7,8,9,10,11,12"
235032001,"1,2,3,4,5,6,8"
235033532,"4,5,6,7,8,9"
235054856,"4,5,6,7,8,9,10,11"
235076295,"1,2,3,4,5,6,7,8,9,10,11"
235097311,"1,2,3,4,5,6,7,8,9,10,11,12"
235102113,"1,2,3,4,5,6,7,8,9,10,11,12"
244153064,"5,6,7,8,10"
244250329,"4,5,8,10"
244615605,"4,5,6,7,8,9"
247030180,"1,2,3,4,5,6,7,9,10,11,12"
247081090,"1,2,3,4,5,6,7,8,9,10,11,12"
247082800,"1,2,3,4,5,6,7,8,9,10,11,12"
247142090,"4,5,6,7"
247149020,"4,5,6,7,8,9,12"
247149040,"1,2,3,4,5,6,7,8,9,10,11,12"
247190200,"5,6,7,8,9"
251402110,"1,2,3,4,5,6,7,8,9,10,11,12"
251518240,"1,2,3,4,5,6,7,8,9,10,11,12"
251792540,"3,4,5,6,7,8"
251809240,"3,4,5,6,7,8"
257007500,"6,7,8,9,10,11,12"
257108620,"3,4,5,10"
257575090,"4,5,6,7,8,10"
257866500,"1,2,3,4,5,6,7,8,9,10,11,12"
257888290,"5,6,7,8,9,11"
257898500,"1,2,3,4,5,6,7,8,9,10,11,12"
257990330,"3,4,5,6,7,8,9,10"
263406940,"2,3,4,5,6,7,8,10,11,12"
265581290,"6,7,8,9,10"
265631320,"1,5,6"
265658020,"5,6,7,8,9"
271072459,"1,4,6,7,8,9,10,11,12"
273352280,"1,2,3,4,5,6,7,8,9,10,11,12"
273443410,"1,2,3,4,5,6,7,8,9,10,11,12"
303221000,"1,2,3,4,9,10,11"
310413000,"1,2,3,4,5,6,7,10,11,12"
312763000,"1,2,3,4,10,11,12"
316020229,"1,2,3,4,5,7,8,10,11,12"
319089900,"10,11,12"
338060001,"3,4,5,6,7,8,9,10,11,12"
338167955,"1,4,6,7,8,9,10,11,12"
351239000,"1,2,3,4,5,6,7,8,9,10,11,12"
366596000,"1,2,3,4,5,6,7,8,9,10,11,12"
367045260,"1,2,3,4,5,6,7,8,10,11,12"
367135050,"1,2,3,4,8,9,10,11,12"
367584690,"1,2,4,6,7,8,9,10,11,12"
370418000,"3,4,5,6,7,8,9,10,11"
403710210,"1,2,3,4,5,6,7,8,9,10,12"
412125015,"1,3,4,5"
412201192,"1,3,4,5,9,10,11,12"
412284865,"8,9,10,11"
412286255,"1,2,3,4,5,8,9,10"
412301001,"3,4,5,6,7"
412321399,"1,3,4,7,8,9,10,11,12"
